speaker,sentence_id,word_count,reference,hypothesis,evaluation_label
S01C002V1_2LG,(S01C002V1_2LG-words),78,water,watter,S
S01C002V1_2LG,(S01C002V1_2LG-words),78,mevrouw,mevrouw,C
S01C002V1_2LG,(S01C002V1_2LG-words),78,dronken,gonken,S
S01C002V1_2LG,(S01C002V1_2LG-words),78,winkel,winkel,C
S01C002V1_2LG,(S01C002V1_2LG-words),78,auto,[SKIPPED],D
S01C002V1_2LG,(S01C002V1_2LG-words),78,schouders,erschouders,S
S01C002V1_2LG,(S01C002V1_2LG-words),78,verhaal,verhaal,C
S01C002V1_2LG,(S01C002V1_2LG-words),78,koning,koning,C
S01C002V1_2LG,(S01C002V1_2LG-words),78,moeilijk,o,S
S01C002V1_2LG,(S01C002V1_2LG-words),78,speelplaats,speelplaats,C
S01C002V1_2LG,(S01C002V1_2LG-words),78,drinken,drinken,C
S01C002V1_2LG,(S01C002V1_2LG-words),78,hoofdpijn,[SKIPPED],D
S01C002V1_2LG,(S01C002V1_2LG-words),78,regen,gigen,S
S01C002V1_2LG,(S01C002V1_2LG-words),78,vliegtuig,vliegtuig,C
S01C002V1_2LG,(S01C002V1_2LG-words),78,stoppen,stoppen,C
S01C002V1_2LG,(S01C002V1_2LG-words),78,opnieuw,opnieuw,C
S01C002V1_2LG,(S01C002V1_2LG-words),78,gooien,goeien,S
S01C002V1_2LG,(S01C002V1_2LG-words),78,sneeuwen,sneeuwen,C
S01C002V1_2LG,(S01C002V1_2LG-words),78,moeder,moeder,C
S01C002V1_2LG,(S01C002V1_2LG-words),78,liedje,[SKIPPED],D
S01C002V1_2LG,(S01C002V1_2LG-words),78,potlood,pooloot,S
S01C002V1_2LG,(S01C002V1_2LG-words),78,fietsbel,potloot,S
S01C002V1_2LG,(S01C002V1_2LG-words),78,vinger,fiets,S
S01C002V1_2LG,(S01C002V1_2LG-words),78,dichtbij,dichtbij,C
S01C002V1_2LG,(S01C002V1_2LG-words),78,meisje,[SKIPPED],D
S01C002V1_2LG,(S01C002V1_2LG-words),78,chauffeur,erganfer,S
S01C002V1_2LG,(S01C002V1_2LG-words),78,muziek,muziek,C
S01C002V1_2LG,(S01C002V1_2LG-words),78,waarom,waarom,C
S01C002V1_2LG,(S01C002V1_2LG-words),78,scheuren,suven,S
S01C002V1_2LG,(S01C002V1_2LG-words),78,lawaai,lawai,S
S01C002V1_2LG,(S01C002V1_2LG-words),78,zwemmen,jammen,S
S01C002V1_2LG,(S01C002V1_2LG-words),78,vuurwerk,vuurwerk,C
S01C002V1_2LG,(S01C002V1_2LG-words),78,appel,appel,C
S01C002V1_2LG,(S01C002V1_2LG-words),78,cola,sola,S
S01C002V1_2LG,(S01C002V1_2LG-words),78,kussen,kichen,S
S01C002V1_2LG,(S01C002V1_2LG-words),78,eerste,eerste,C
S01C002V1_2LG,(S01C002V1_2LG-words),78,circus,[SKIPPED],D
S01C002V1_2LG,(S01C002V1_2LG-words),78,kleuren,kleuren,C
S01C002V1_2LG,(S01C002V1_2LG-words),78,voetbal,voetbal,C
S01C002V1_2LG,(S01C002V1_2LG-words),78,vlinder,vlendur,S
